Title,Release year,Genre,Duration,Rating,Viewership Certificate,User votes,Plot synopsis,Director,Poster Link
Abe Lincoln in Illinois,1940,"['Biography', 'Drama', 'History']",1h 50m,7.3,Approved,2.1K,"Humble Abraham Lincoln gains the respect of his Illinois neighbors, growing in stature and respect until he is elected President in 1860 and departs for Washington.",John Cromwell,https://m.media-amazon.com/images/M/MV5BOTE5MTljZDEtZTdlOC00MDcyLWIzZjYtNjU0MGQzNzUyOThhXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg
De Palma,2015,"['Documentary', 'Biography']",1h 50m,7.4,R,6.2K,A documentary about writer and director Brian De Palma.,Noah Baumbach,https://m.media-amazon.com/images/M/MV5BZTczNGY0OTItNDE3Yi00NWRmLWE5NDgtNjU1NGMxMTViNzJjXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg
Wake,2024,"['Horror', 'Thriller']",,,,,,,
My Geisha,1962,"['Comedy', 'Drama', 'Romance']",1h 59m,6.5,Not Rated,1.6K,An actress disguises herself as a geisha in order to land the lead role in her director husband's film version of 'Madam Butterfly'.,Jack Cardiff,https://m.media-amazon.com/images/M/MV5BNTBhOWJjY2ItOGU3NS00MDkwLWFjOWMtMjk5NzdlODUxMGFhXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
Thrilla in Manila,,,,,,,,,
Flesh and the Devil,1926,['Drama'],1h 52m,7.6,Passed,4.6K,Childhood friends are torn apart when one of them marries the woman the other fiercely loves.,Clarence Brown,https://m.media-amazon.com/images/M/MV5BNWYzZjA1MWEtOGUxZi00ZjUxLTg0YTAtZGUxNDc2MmQxM2JjXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_.jpg
Stop and Go,2021,['Comedy'],,,,,,,
Already Gone,2019,['Drama'],1h 32m,4.3,Not Rated,334,"A lonely teenager runs away from home, taking along his abusive stepfather's girlfriend.",Christopher Kenneally,https://m.media-amazon.com/images/M/MV5BOTdkYWVlYTEtMjY3MS00MGUzLWFjMDYtNmIwMDgxY2I1ODE0XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg
Hearts of Fire,1987,"['Drama', 'Music', 'Romance']",1h 35m,4.4,R,531,"A reclusive musician, once a huge rock star, takes a young female protegee. While on a tour she meets a younger, more popular rocker and switches her loyalties.",Richard Marquand,https://m.media-amazon.com/images/M/MV5BYjA1NWY1ZjYtZGNkZC00NmQ1LThjNGYtYTM1NmIxNjI3ZWE0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg
The North Star,1943,"['Drama', 'Romance', 'War']",1h 48m,5.9,Approved,1.8K,A Ukrainian village must suddenly contend with the German invasion of June 1941.,Lewis Milestone,https://m.media-amazon.com/images/M/MV5BZmVkYTkxNjUtNjNiNy00MjY3LWFlYzktMzQxM2E5NzI2MGYwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
Words of War,,,,,,,,,
Ripple Effect,2007,"['Drama', 'Music']",1h 27m,4.9,R,767,"Fashion designer Amer Atrash, perpetually on the verge of success, is undergoing a personal crisis in both his marriage and his business. Attributing his misfortune to bad karma from a wrongdoing committed fifteen years prior, he sets out to correct his mistake, and in doing so, ... Read all",Philippe Caland,https://m.media-amazon.com/images/M/MV5BNjE4MTMzNjk1MF5BMl5BanBnXkFtZTcwMzQ5MTk5MQ@@._V1_.jpg
Death Count,2022,['Horror'],,,,,,,
You & I,2023,['Romance'],,,,,,,
Three Blind Mice,1938,['Comedy'],1h 15m,6.4,Approved,415,"Three sisters take their small inheritance and move from Kansas to California in search of rich husbands. To start with, Pamela poses as a socialite and Moira and Elizabeth pretend to be her staff.",William A. Seiter,https://m.media-amazon.com/images/M/MV5BZmJmZjA0NmQtZTg4MC00MTM1LWJlODQtMmU5NTNjMTA1YjQ3XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Ginger,1971,"['Action', 'Crime', 'Drama']",1h 30m,3.9,R,643,A rich society girl is recruited to go undercover and expose a drug/blackmail/prostitution ring in her small town.,Don Schain,
Beyond the Raging Sea,2018,"['Documentary', 'Action', 'Adventure']",,,,,,,
Untitled Ulysses S. Grant Project,,,,,,,,,
The Truth About Spring,1965,"['Adventure', 'Comedy', 'Drama']",1h 42m,6.4,Approved,726,"During the 1960s, a Caribbean sailor and his tomboy daughter search for buried treasure but run into unsavory characters and a cute lawyer who's after romance.",Richard Thorpe,https://m.media-amazon.com/images/M/MV5BMjg4MzUxNTAtNDUzNS00OTVkLTg0YzktMWIyZmU1ZTAxYTk0XkEyXkFqcGdeQXVyMjc1NjE1MzM@._V1_.jpg
Working Man,2019,['Drama'],,,,,,,
Tune in Tomorrow...,1990,"['Comedy', 'Romance']",1h 47m,6.1,PG-13,2K,"New Orleans, 1951: A law student, working at WXBU radio station, falls in love with his cute aunt, who's looking for a third husband. Then Pedro starts writing radio series at WXBU, stirring up things.",Jon Amiel,https://m.media-amazon.com/images/M/MV5BMzhjMWUzOTgtMjQxYS00MWRhLThiYTMtNWYwNThlNTE1MzZjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg
Birdies,2022,"['Comedy', 'Sport']",,,,,,,
Dixieland,2015,"['Crime', 'Drama']",1h 32m,5.3,Unrated,1.3K,"A young, recently-released and unpredictable ex-con with bad luck, and a sexy, listless girl-next-door with a troubled family, become trapped in a downward spiral of crime and obsessive love, as they try to ditch their dead-end town for a better life.",Hank Bedford,https://m.media-amazon.com/images/M/MV5BMjA0NzI0NzcxM15BMl5BanBnXkFtZTgwNTc4NDQzNzE@._V1_.jpg
Young Bess,1953,"['Biography', 'Drama', 'Romance']",1h 52m,6.6,Approved,1.8K,"The early life of Elizabeth I, from her childhood until her accession to the throne of England in 1558.",George Sidney,https://m.media-amazon.com/images/M/MV5BMmY5Zjg5MmYtOTI2OS00NmMzLTg3MjQtODUzMmJmNWM5NDg0XkEyXkFqcGdeQXVyMTQ1NDUyNzI@._V1_.jpg
Backfire,1987,"['Drama', 'Mystery', 'Thriller']",1h 30m,5.4,R,732,"Disgruntled wife cheats on her well off husband, who's been suffering from PTSD ever since he came home from the Vietnam War. After an incident he ends up in a catatonic state. Soon, she begins to suspect that someone is after her.",Gilbert Cates,https://m.media-amazon.com/images/M/MV5BYjk0MGM0NDktZjQ5Zi00ZWE1LWE3YjQtMzViYWM1MDYxYTFhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg
Unrest,2006,"['Horror', 'Thriller']",1h 28m,5,R,8.3K,A young pathology med student suspects that the spirit of a dead cadaver in the hospital morgue where she works is killing off all those who handle or desecrate the body.,Jason Todd Ipson,https://m.media-amazon.com/images/M/MV5BMTRiMGI3ZTUtNzc4Yi00ODc2LTk5YTYtMTVhNjFhYWNkYmRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
Hostile Takeover,,,,,,,,,
The Last Blockbuster,2020,['Documentary'],1h 26m,6.7,TV-14,6.2K,"This nostalgic documentary reveals the real story of Blockbuster's demise, and how one last location in Bend, Oregon keeps the spirit of a bygone era alive.",Taylor Morden,https://m.media-amazon.com/images/M/MV5BNjRhY2YwYzItOGY4My00ZjNjLTg4NDktN2YyNGM1ODA5ZGRmXkEyXkFqcGdeQXVyNzE5OTQzMDU@._V1_.jpg
Best Worst Thing That Ever Could Have Happened,2016,['Documentary'],,,,,,,
We Feed People,2022,['Documentary'],1h 29m,7.3,TV-14,556,"A chronicle of how Andrés and his nonprofit rebuilds nations in the wake of disaster, providing healthy food to those affected.",Ron Howard,https://m.media-amazon.com/images/M/MV5BYTVhZmE4MTgtNDIyNC00NDFmLTg4Y2QtMWQ3MTQ2M2IyNzFjXkEyXkFqcGdeQXVyOTkwODA4NTk@._V1_.jpg
Pocket Listing,2015,"['Comedy', 'Crime', 'Thriller']",1h 32m,5.1,R,7.1K,"Double crosses, adultery, murder, mistaken identity, and revenge ensue when a mysterious power player and his sultry wife hire a disgraced Los Angeles property broker to discreetly market and sell their Malibu villa.",Conor Allyn,https://m.media-amazon.com/images/M/MV5BMTYyMDUzMDA1NF5BMl5BanBnXkFtZTgwMDMwNDU0MDI@._V1_.jpg
A Raunchy Christmas Story,2018,['Comedy'],1h 12m,1.7,TV-MA,143,A group of pre millennials arrange a secluded Christmas party to put the romance back into a friend's life. Unbeknownst to them an investigative journalist and a soviet spy are among the guests.,Maria Biltz,https://m.media-amazon.com/images/M/MV5BNDEyNmUyM2QtNjI0ZC00NGNjLTkxNWUtMTVhYzcyODc1M2NhXkEyXkFqcGdeQXVyMTY3MTE1Nw@@._V1_.jpg
The St. Louis Bank Robbery,1959,"['Crime', 'Drama', 'Thriller']",1h 29m,5.9,Not Rated,1.7K,A gang's plans for a St. Louis bank robbery are complicated when the sister of one of the thieves starts voicing her well-founded suspicions.,Charles Guggenheim,https://m.media-amazon.com/images/M/MV5BZmVmZjBkNDUtZTQxZi00NDcyLTkyMjYtZjg2ZWRhNTlkYzI3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
Night of the Blood Beast,1958,"['Horror', 'Sci-Fi']",1h 2m,3.5,Approved,2.3K,"An astronaut is killed on reentry to Earth, but his body is seeded with rapidly gestating aliens.",Bernard L. Kowalski,https://m.media-amazon.com/images/M/MV5BMzc1MzA0MjQtODNhNS00MGY1LTk5YWUtYmVlNGRkNGQzZmUzXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
The Aviary,2022,['Thriller'],1h 36m,4.2,R,756,"Two women escape a cult into New Mexico's desert, fearing pursuit by its seductive yet controlling leader. Their paranoia grows as supplies dwindle, questioning if the enemy resides within their minds.",Chris Cullari,https://m.media-amazon.com/images/M/MV5BNTg2YmRjMjQtOTU3ZC00YjNiLWI1MmEtNTc4M2Y1NWFmZWFlXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_.jpg
Dummy,2002,"['Comedy', 'Drama', 'Romance']",1h 31m,6.6,R,6.9K,"An ex-office worker becomes a ventriloquist, leading to a date with his unemployment counselor; but his quirky family and a gauche female friend may thwart his new career and love life.",Greg Pritikin,https://m.media-amazon.com/images/M/MV5BMTU2NTA3MTEzN15BMl5BanBnXkFtZTYwOTkwNzg2._V1_.jpg
Counterspy Meets Scotland Yard,1950,"['Crime', 'Drama']",1h 7m,5.8,Approved,171,"When enemy agents obtain leaked secrets about a guided missile reservation, the chief of America's counterspy division (Howard St. John) and Scotland Yard's best investigator Ron Randell get on an investigative trail which quickly leads to a reservation secretary (Gunsmoke's Miss... Read all",Seymour Friedman,https://m.media-amazon.com/images/M/MV5BNjM5YzFlMzgtMGYwZi00NGZkLWI3ZTktMDI0OWE3ZGQ2ZDk2XkEyXkFqcGdeQXVyMTM2MjYxNjQ1._V1_.jpg
Occupants,2015,"['Horror', 'Sci-Fi', 'Thriller']",1h 21m,5,Not Rated,1.3K,A documentarian named Annie has roped her husband into a project that involves setting up cameras throughout their house. Complications arise when the cameras start showing that same couple in an alternate universe.,Russ Emanuel,https://m.media-amazon.com/images/M/MV5BNTVhOTZhMWMtMTE0MC00NzQ0LWEwYWMtZGJhMzYzNTIyOWFmXkEyXkFqcGdeQXVyMjE4MzYwMA@@._V1_.jpg
Mirror Images,1992,"['Drama', 'Thriller']",1h 33m,4.2,R,476,"When her identical twin sister goes out of town, a bored and sexually frustrated woman adopts her sibling's promiscuous identity, but soon finds herself involved in a murder case.",Gregory Dark,https://m.media-amazon.com/images/M/MV5BMmJmMGExMmEtMjNjZC00NGQ3LThkZGEtMzg0ZDZkZjhkNDg5XkEyXkFqcGdeQXVyMzQzODY3ODQ@._V1_.jpg
Conan O'Brien Can't Stop,2011,"['Documentary', 'Comedy', 'Music']",1h 29m,7,R,6.9K,A documentary on Conan O'Brien's comedy tour of the U.S. and Canada after leaving The Tonight Show with Conan O'Brien (2009) and severing his relationship with NBC.,Rodman Flender,https://m.media-amazon.com/images/M/MV5BMjIwNjQxMTY0MF5BMl5BanBnXkFtZTcwODMxMDMzNw@@._V1_.jpg
The Clearing,2020,['Horror'],,,,,,,
Mala Noche,1986,['Drama'],1h 18m,6.5,Not Rated,4.3K,"A story of amour fou. Walt is madly in love/lust with a young illegal Mexican immigrant. However, the object of his unrequited affection doesn't even speak any English and finds Walt really strange and undesirable.",Gus Van Sant,https://m.media-amazon.com/images/M/MV5BMTk5NjIwMjM4NF5BMl5BanBnXkFtZTcwNzI2MTI1MQ@@._V1_.jpg
Naked Alibi,1954,"['Crime', 'Drama', 'Film-Noir']",1h 26m,6.5,Approved,1.5K,"A chief of police detectives fired for brutality, tries to get evidence on a man suspected of killing 3 of his officers.",Jerry Hopper,https://m.media-amazon.com/images/M/MV5BZWY4NDA0NGYtNjA0Mi00ZWY2LWI5ODctZjZiNjY1Y2Q3ODI3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
Stingray,1978,"['Action', 'Comedy', 'Crime']",1h 40m,5.6,PG,325,"Lonigan and his partner Tony, two drug dealers, shoot two cops who attempt to set them up, and run away with a million bucks and the drugs, which they stash in a red Corvette Stingray in a used car lot. When they attempt to recover their stash with their leader, Abigail, they fin... Read all",Richard Taylor,https://m.media-amazon.com/images/M/MV5BNjkyOTRjODMtMjc3Mi00YjA2LThlNzEtOThmOGM5MGU5MmQ5XkEyXkFqcGdeQXVyNjg0MTI2MzM@._V1_.jpg
Loving,1970,"['Comedy', 'Drama']",1h 29m,6.1,R,719,"In this romantic comedy/drama, George Segal stars as a freelance artist who's attempting to revitalize his career just as his marriage to Eva Marie Saint begins to fall apart. Co-starring David Doyle, Sterling Hayden and Kennan Wynn.",Irvin Kershner,https://m.media-amazon.com/images/M/MV5BZjhkYTY1NWItZjYyNy00M2ZlLWI3NjItOWU1YTc5NWMyZmQwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg
It Conquered the World,1956,"['Horror', 'Sci-Fi']",1h 11m,4.9,Approved,2.7K,"A well meaning scientist guides an alien monster to Earth from Venus, so that he can rid mankind of feelings and emotions - but only death and sorrow results.",Roger Corman,https://m.media-amazon.com/images/M/MV5BMTgxYzc3NjAtN2QwNy00NGM5LTgzYTktNTRiZjhmNjEwYjJjXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
The Littlest Rebel,1935,"['Comedy', 'Drama', 'Family']",1h 13m,6.7,PG,1.7K,"Shirley Temple's father, a rebel officer, sneaks back to his rundown plantation to see his family and is arrested. A Yankee takes pity and sets up an escape. Everyone is captured and the officers are to be executed. Shirley and ""Bojangles"" Robinson beg President Lincoln to interc... Read all",David Butler,https://m.media-amazon.com/images/M/MV5BOGE2ZTgzYTAtYjk3MS00ZmVjLWE0ODAtNzVhMTZjMTRkNjBmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
The Song of Sway Lake,2018,"['Drama', 'Music', 'Romance']",1h 34m,6.1,R,707,"Music collector Ollie Sway recruits his only friend, a rowdy Russian drifter, to help him steal a 78 record from his own family's estate.",Ari Gold,https://m.media-amazon.com/images/M/MV5BZTFiZGUzYjUtYzRhZC00NjY4LWE0YWYtYzc1Mjg2NzQ1NmNmXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_.jpg
High Value Target,,,,,,,,,
Boomerang!,1947,"['Crime', 'Drama', 'Film-Noir']",1h 28m,7.2,Approved,5.1K,The true story of a prosecutor's fight to prove the innocence of a man accused of a notorious murder.,Elia Kazan,https://m.media-amazon.com/images/M/MV5BNjgzYjBkOWQtZWE0MS00MTViLTg3YjUtYTNjYTE1ZTNiY2ZhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg
Ruggles of Red Gap,1935,"['Comedy', 'Mystery', 'Romance']",1h 30m,7.6,Approved,4.5K,An English valet brought to the American west assimilates into the American way of life.,Leo McCarey,https://m.media-amazon.com/images/M/MV5BZmM5ZGI2YTItMTIyYy00N2RiLTk4ZjAtZTQ0YmVhMWIwMjljXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
Naked As We Came,2012,['Drama'],1h 27m,6.2,Not Rated,1.9K,"Love, loss and hope are tumultuously explored amidst a tranquil backdrop and asks us all the question: What is your dream?",Richard LeMay,https://m.media-amazon.com/images/M/MV5BNzVjMDAwZjktZWU2NC00N2E2LWExOWUtOGZmNDJlNTIwNTRhXkEyXkFqcGdeQXVyMzQ0NTgwMTQ@._V1_.jpg
Scar,2007,"['Crime', 'Horror', 'Thriller']",1h 23m,4.1,R,3K,"Joan Burrows returns to her hometown for her niece's graduation, only to be confronted by the serial killer she thought she offed years ago -- after he kidnapped and tormented her and killed her best friend.",Jed Weintrob,https://m.media-amazon.com/images/M/MV5BY2Y2MTc5OTUtYmQ2ZC00ZjFkLThlZTMtNjEzM2I5OTA3ZTFjXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Roxanna,1970,['Drama'],,,,,,,
Dark Feathers,2024,"['Drama', 'Mystery', 'Thriller']",,,,,,,
Lightlark,,,,,,,,,
"Tarzan, the Ape Man",1959,"['Action', 'Adventure', 'Romance']",1h 22m,3.8,G,394,An English colonel's daughter meets the lord of the jungle who makes her his mate.,Joseph M. Newman,https://m.media-amazon.com/images/M/MV5BOWNjOGRhYmQtODg5MC00MGE5LThlZTgtMGUxMjhlMjg5MWZmXkEyXkFqcGdeQXVyMzYyODU2NTU@._V1_.jpg
Takedown,2000,"['Biography', 'Crime', 'Drama']",1h 36m,6.2,R,7.2K,This film is based on the story of the capture of computer hacker Kevin Mitnick.,Joe Chappelle,https://m.media-amazon.com/images/M/MV5BODgyOTJiNzAtYzZkOS00ODM2LTliMTItMDgzMDczZWRlOGJkXkEyXkFqcGdeQXVyNjU2MjA0ODc@._V1_.jpg
I Win,,,,,,,,,
Bad Cat,2016,"['Animation', 'Action', 'Adventure']",1h 26m,7,Not Rated,8.7K,"A profane house cat must deal with the arrival of his illegitimate son, an accidental killing, his owner's eviction and more within the course of a day of debauchery and mayhem.",Mehmet Kurtulus,https://m.media-amazon.com/images/M/MV5BOWU0MTFlNzItN2NlYS00N2I5LTk2MTktNDFiYmU5NWQ3MTEzXkEyXkFqcGdeQXVyODEwMTc2ODQ@._V1_.jpg
Joshy,2016,"['Comedy', 'Drama']",1h 33m,5.9,R,4.5K,"Joshy's fiancée kills herself. 4 months later, Joshy's friends hope to cheer him up at the cabin in Ojai, CA, rented for his bachelor party weekend. Starting at the local bar, things get wild.",Jeff Baena,https://m.media-amazon.com/images/M/MV5BMTkwODMxMjIyMl5BMl5BanBnXkFtZTgwMTg4NDUyOTE@._V1_.jpg
Thr3e,2006,"['Horror', 'Mystery', 'Thriller']",1h 41m,4.9,PG-13,4.7K,Innocent lives hang on the whim of an elusive psychopathic murderer whose strange riddles and impossible timelines force three people into a mission to end the game before one or all of them die.,Robby Henson,https://m.media-amazon.com/images/M/MV5BMTk2Njg3ODgxM15BMl5BanBnXkFtZTcwOTUyMTA0MQ@@._V1_.jpg
Paradise,2013,"['Comedy', 'Drama']",1h 26m,5,PG-13,3.7K,After surviving a plane crash a young conservative woman suffers a crisis of faith.,Diablo Cody,https://m.media-amazon.com/images/M/MV5BMjA4Njk4NDc4NV5BMl5BanBnXkFtZTcwNDkzMDg5OQ@@._V1_.jpg
Crossroads,1942,"['Crime', 'Drama', 'Film-Noir']",1h 23m,6.7,Approved,1.7K,An amnesiac French diplomat is blackmailed for crimes that he committed before he lost his memory.,Jack Conway,https://m.media-amazon.com/images/M/MV5BNmI1NjA1MzYtMjdmOC00Zjc3LTgyMGItNDUwNDYwNGNjMWI0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
Apacheria,,,,,,,,,
I'll Be Seeing You,1944,"['Drama', 'Family', 'Romance']",1h 25m,7.1,Approved,2.5K,A soldier suffering from combat fatigue meets a young woman on Christmas furlough from prison and their mutual loneliness blossoms into romance.,William Dieterle,https://m.media-amazon.com/images/M/MV5BOThjYjM2NDctYWE2ZC00YzgxLWI1YmUtODAxYmU1ODBjMTkyXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_.jpg
Villa Rides,1968,"['Drama', 'War', 'Western']",2h 5m,6.3,R,2.3K,Mexican rebel Pancho Villa leads a revolution helped by an American aviator imprisoned in Mexico.,Buzz Kulik,https://m.media-amazon.com/images/M/MV5BNTk0OWNkYjgtNzA5MS00MjkyLWFmNjItOTg2MGExYmU1NzhkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
Don't Turn Out the Lights,2023,['Horror'],,,,,,,
Picture Mommy Dead,1966,"['Horror', 'Thriller']",1h 22m,5.3,Unrated,731,"Teenage Susan Shelley is released from an asylum where she's been confined after the shock she suffered from her glamorous socialite mother Jessica's fiery death. Her father has a new wife, who has only married him for the money Jessica left him. Susan is still haunted by her mot... Read all",Bert I. Gordon,https://m.media-amazon.com/images/M/MV5BMGE0NGI2ZmItZTllNS00MzM5LWFiNTgtOGQyOTQxNmRmNTliXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
In the Garden of Beasts,,,,,,,,,
Bernard and Doris,2006,"['Biography', 'Comedy', 'Drama']",1h 42m,6.5,TV-14,4.5K,"The story of the twilight years of tobacco billionairess Doris Duke who develops an unlikely friendship with her butler, Bernard Lafferty.",Bob Balaban,https://m.media-amazon.com/images/M/MV5BZDYwNTA1YWUtM2IwNy00ZjgzLWFjNDAtMzc5OWU3NDZhYzI5XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_.jpg
Johnny Eager,1941,"['Crime', 'Film-Noir', 'Mystery']",1h 47m,7,Approved,3.4K,The step-daughter of a district attorney falls in love with a gangster on parole who her father originally imprisoned.,Mervyn LeRoy,https://m.media-amazon.com/images/M/MV5BYjJhNWY5YjItY2NkOS00M2ZlLWE5ZGYtN2I2MmU4ZDVlM2UxXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Sidewalks of New York,2001,"['Comedy', 'Romance']",1h 48m,6.4,R,6.9K,The interlocking lives and loves of six New Yorkers.,Edward Burns,https://m.media-amazon.com/images/M/MV5BNDA5ZjllMDMtZGZlMS00MGM4LTlhYjQtZGJkZTBmOWRhN2ZhXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_.jpg
Bride of Frankenstein,,,,,,,,,
Trick,2019,"['Crime', 'Horror', 'Mystery']",1h 40m,4.9,Not Rated,4.9K,"A no-nonsense detective tries to track down a mass murderer named Trick, who is terrorizing a small town.",Patrick Lussier,https://m.media-amazon.com/images/M/MV5BM2NhZDkwMzktNjIzNy00NTBjLWJhYzQtNDQyN2I0NzQ4NDVjXkEyXkFqcGdeQXVyNTEyMDE1MTE@._V1_.jpg
Levity,2003,"['Crime', 'Drama']",1h 40m,6.4,R,6.7K,"After two decades in prison for murder, a man is released on parole and returns to his hometown seeking redemption.",Ed Solomon,https://m.media-amazon.com/images/M/MV5BZjIwZWNlOWYtNzAzNy00Y2YwLTkzY2QtMDBhODEwNWE4MzBlXkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_.jpg
The Maze,1953,"['Drama', 'Fantasy', 'Horror']",1h 20m,5.8,Approved,1.3K,"A Scotsman abruptly breaks off his engagement to pretty Kitty and moves to his uncle's castle in the Scottish highlands. Kitty and her aunt follow Gerald a few weeks later, and discover he has suddenly aged. Some mysterious things happen in a maze made from the hedges adjoining t... Read all",William Cameron Menzies,https://m.media-amazon.com/images/M/MV5BNzg1YTQzZTItY2MyNy00OTk2LTkzMGEtMWY0NWI4MmUxY2Q4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg
The Thin Red Line,1964,"['Drama', 'War']",,,,,,,
The Estate,2020,"['Comedy', 'Thriller']",1h 25m,4.7,R,429,"When the spoiled son and newest wife of a billionaire patriarch plot to murder him, they form a psycho-sexual bond with their brutally handsome hitman as they kill and kill (and kill) in their quest for wealth and recognition.",James Kapner,https://m.media-amazon.com/images/M/MV5BNTI3MTM2M2QtNDk4Yy00MGQyLWEzOWYtOGY5ZWEzZjVjNTg0XkEyXkFqcGdeQXVyMzc4NzEyNw@@._V1_.jpg
I'm with Lucy,2002,"['Comedy', 'Romance']",1h 30m,5.9,R,3.6K,"A woman experiences five blind dates in one year, but only one of them is ""Mr. Right"".",Jon Sherman,https://m.media-amazon.com/images/M/MV5BMTgyZDA2YWQtNTM1ZS00ZDg2LWEzMGEtMjE5NGM2YjA2NWNjXkEyXkFqcGdeQXVyMzMwMDY1OQ@@._V1_.jpg
Exhumation,2013,"['Drama', 'Thriller']",1h 38m,6.2,Not Rated,12,"Life took an unexpected and sudden turn for Joseph. He loses his job and girlfriend in one week. As Joseph begins to rebuild his life from a 'bad luck roller coaster ride,' his personal chaos begins to manifest at home through unexpected occurrences. Joseph starts to feel a metam... Read all",Khireddine Ouazaa,
Final Wager,2024,"['Comedy', 'Drama', 'Thriller']",,,,,,,
Beautiful,,,,,,,,,
Homecoming: A Film by Beyoncé,2019,"['Documentary', 'Music']",2h 17m,7.6,TV-MA,8K,"This intimate, in-depth look at Beyoncé's celebrated 2018 Coachella performance reveals the emotional road from creative concept to cultural movement.",Beyoncé,https://m.media-amazon.com/images/M/MV5BMmYzNzNiNTQtNjhmNC00ZmIyLWI2YTYtNTg5NTUyN2Y1YjNlXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_.jpg
Andromina: The Pleasure Planet,2000,"['Comedy', 'Fantasy', 'Horror']",1h 28m,3.7,R,392,"Disappointed that Andromina, the pleasure planet, has fallen on hard times, three men travel to a planet for women only to recruit females to bring back to the planet.",Darren Patrick Moloney,https://m.media-amazon.com/images/M/MV5BZWY3N2VlMDEtYWI2Yi00ZTJmLTljOTQtMWZhNGMwYWJmMDk2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Canadian Pacific,1949,['Western'],1h 35m,5.9,Approved,932,A surveyor for the Canadian Pacific Railroad must fight fur trappers who oppose the building of the railroad by stirring up Indian rebellion.,Edwin L. Marin,https://m.media-amazon.com/images/M/MV5BYWQ3YTNkZTUtMzIzMS00YzYyLWI1MTktYmE0NTg5OTliNjYxXkEyXkFqcGdeQXVyNTI2Njg2OTI@._V1_.jpg
Marina Abramovic: The Artist Is Present,2012,"['Documentary', 'Biography', 'History']",1h 46m,7.8,Not Rated,6.5K,A documentary that follows the Serbian performance artist as she prepares for a retrospective of her work at The Museum of Modern Art in New York.,Matthew Akers,https://m.media-amazon.com/images/M/MV5BMTQ3NTA4MjA4MV5BMl5BanBnXkFtZTcwOTE0MTE5Nw@@._V1_.jpg
Lulu Belle,1948,['Drama'],1h 26m,5.8,Approved,190,"Lulu Belle and George Davis marry despite opposition. Financial struggles lead Lulu to work at a club, causing George's jealousy and imprisonment. Lulu becomes a Broadway star but chooses George over a wealthy suitor upon his release.",Leslie Fenton,https://m.media-amazon.com/images/M/MV5BMmQwYzg1MDItZjhjZC00YjkzLWEyNWUtMDFlOGIyNTQ3MDA2XkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_.jpg
Invasion of the Saucer Men,1957,"['Comedy', 'Horror', 'Sci-Fi']",1h 9m,5.3,Approved,2.2K,Aliens equipped with venomous claws invade a small town but the town's teenage population is mobilized to fight the menace.,Edward L. Cahn,https://m.media-amazon.com/images/M/MV5BNjg3NThkMDItZGVjMi00ZmZlLTk0YjQtNjA0OWY2YmMyYWM1XkEyXkFqcGdeQXVyNjM1NzYzMDk@._V1_.jpg
